users.attributes.Gender,,Gender,
users.attributes.Gender.placeholder,,Select an Option,
users.attributes.ID,,ID,
users.attributes.Name,,Name,
users.attributes.Password,,Password,
users.attributes.Recover Token,,Recover Token,
users.attributes.Recover Token Expiry,,Recover Token Expiry,
users.attributes.Recover Token Expiry.placeholder,," YYYY-MM-DD HH:MM ",
users.attributes.Role,,Role,
users.attributes.Role.placeholder,,Select an Option,
users.attributes.add_Address,,Add Address,
users.attributes.add_Avatar,,Add Avatar,
users.filter.Role,,Role,
users.form.sections.Accepts,,Accepts,
users.form.sections.Basic Information,,Basic Information,
users.form.sections.Credit Information,,Credit Information,
users.form.sections.Default Addresses,,Default Addresses,
users.name,,User,
users.name.plural,,Users,
workers.attributes.Created At,,,Created At
workers.attributes.ID,,,ID
workers.attributes.Name,,,Name
workers.attributes.Status,,,Status
workers.name,,,Worker
workers.name.plural,,,Workers
zh-CN,zh-CN,zh-CN,
zh-HK,zh-HK,,
